# index    column     row     aimADC
1025      14         14         10.00   
1026      14         13         10.00   
1027      14         12         10.00   
1028      14         11         10.00   
1029      14         10         10.00   
1030      14         9          10.00   
1031      14         8          10.00   
1032      14         7          10.00   
1033      14         6          10.00   
1034      14         5          10.00   
1035      14         4          10.00   
1036      14         3          10.00   
1037      14         2          10.00   
1038      14         1          10.00   
1039      14         0          10.00   
1040      13         39         10.00   
1041      13         38         10.00   
1042      13         37         10.00   
1043      13         36         10.00   
1044      13         35         10.00   
1045      13         34         10.00   
1046      13         33         10.00   
1047      13         32         10.00   
1048      13         31         10.00   
1049      13         30         10.00   
1050      13         29         10.00   
1051      13         28         10.00   
1052      13         27         10.00   
1053      13         26         10.00   
1054      13         25         10.00   
1055      13         24         10.00   
1056      13         23         10.00   
1057      13         22         10.00   
1058      13         21         10.00   
1059      13         20         10.00   
1060      13         19         10.00   
1061      13         18         10.00   
1062      13         17         10.00   
1063      13         16         10.00   
1064      13         15         10.00   
1065      13         14         10.00   
1066      13         13         10.00   
1067      13         12         10.00   
1068      13         11         10.00   
1069      13         10         10.00   
1070      13         9          10.00   
1071      13         8          10.00   
1072      13         7          10.00   
1073      13         6          10.00   
1074      13         5          10.00   
1075      13         4          10.00   
1076      13         3          10.00   
1077      13         2          10.00   
1078      13         1          10.00   
1079      13         0          10.00   
1080      12         39         10.00   
1081      12         38         10.00   
1082      12         37         10.00   
1083      12         36         10.00   
1084      12         35         10.00   
1085      12         34         10.00   
1086      12         33         10.00   
1087      12         32         10.00   
1088      12         31         10.00   
1089      12         30         10.00   
1090      12         29         10.00   
1091      12         28         10.00   
1092      12         27         10.00   
1093      12         26         10.00   
1094      12         25         10.00   
1095      12         24         10.00   
1096      12         23         10.00   
1097      12         22         10.00   
1098      12         21         10.00   
1099      12         20         10.00   
1100      12         19         10.00   
1101      12         18         10.00   
1102      12         17         10.00   
1103      12         16         10.00   
1104      12         15         10.00   
1105      12         14         10.00   
1106      12         13         10.00   
1107      12         12         10.00   
1108      12         11         10.00   
1109      12         10         10.00   
1110      12         9          10.00   
1111      12         8          10.00   
1112      12         7          10.00   
1113      12         6          10.00   
1114      12         5          10.00   
1115      12         4          10.00   
1116      12         3          10.00   
1117      12         2          10.00   
1118      12         1          10.00   
1119      12         0          10.00   
1120      11         39         10.00   
1121      11         38         10.00   
1122      11         37         10.00   
1123      11         36         10.00   
1124      11         35         10.00   
1125      11         34         10.00   
1126      11         33         10.00   
1127      11         32         10.00   
1128      11         31         10.00   
1129      11         30         10.00   
1130      11         29         10.00   
1131      11         28         10.00   
1132      11         27         10.00   
1133      11         26         10.00   
1134      11         25         10.00   
1135      11         24         10.00   
1136      11         23         10.00   
1137      11         22         10.00   
1138      11         21         10.00   
1139      11         20         10.00   
1140      11         19         10.00   
1141      11         18         10.00   
1142      11         17         10.00   
1143      11         16         10.00   
1144      11         15         10.00   
1145      11         14         10.00   
1146      11         13         10.00   
1147      11         12         10.00   
1148      11         11         10.00   
1149      11         10         10.00   
1150      11         9          10.00   
1151      11         8          10.00   
1152      11         7          10.00   
1153      11         6          10.00   
1154      11         5          10.00   
1155      11         4          10.00   
1156      11         3          10.00   
1157      11         2          10.00   
1158      11         1          10.00   
1159      11         0          10.00   
1160      10         39         10.00   
1161      10         38         10.00   
1162      10         37         10.00   
1163      10         36         10.00   
1164      10         35         10.00   
1165      10         34         10.00   
1166      10         33         10.00   
1167      10         32         10.00   
1168      10         31         10.00   
1169      10         30         10.00   
1170      10         29         10.00   
1171      10         28         10.00   
1172      10         27         10.00   
1173      10         26         10.00   
1174      10         25         10.00   
1175      10         24         10.00   
1176      10         23         10.00   
1177      10         22         10.00   
1178      10         21         10.00   
1179      10         20         10.00   
1180      10         19         10.00   
1181      10         18         10.00   
1182      10         17         10.00   
1183      10         16         10.00   
1184      10         15         10.00   
1185      10         14         10.00   
1186      10         13         10.00   
1187      10         12         10.00   
1188      10         11         10.00   
1189      10         10         10.00   
1190      10         9          10.00   
1191      10         8          10.00   
1192      10         7          10.00   
1193      10         6          10.00   
1194      10         5          10.00   
1195      10         4          10.00   
1196      10         3          10.00   
1197      10         2          10.00   
1198      10         1          10.00   
1199      10         0          10.00   
1200      9          39         10.00   
1201      9          38         10.00   
1202      9          37         10.00   
1203      9          36         10.00   
1204      9          35         10.00   
1205      9          34         10.00   
1206      9          33         10.00   
1207      9          32         10.00   
1208      9          31         10.00   
1209      9          30         10.00   
1210      9          29         10.00   
1211      9          28         10.00   
1212      9          27         10.00   
1213      9          26         10.00   
1214      9          25         10.00   
1215      9          24         10.00   
1216      9          23         10.00   
1217      9          22         10.00   
1218      9          21         10.00   
1219      9          20         10.00   
1220      9          19         10.00   
1221      9          18         10.00   
1222      9          17         10.00   
1223      9          16         10.00   
1224      9          15         10.00   
1225      9          14         10.00   
1226      9          13         10.00   
1227      9          12         10.00   
1228      9          11         10.00   
1229      9          10         10.00   
1230      9          9          10.00   
1231      9          8          10.00   
1232      9          7          10.00   
1233      9          6          10.00   
1234      9          5          10.00   
1235      9          4          10.00   
1236      9          3          10.00   
1237      9          2          10.00   
1238      9          1          10.00   
1239      9          0          10.00   
1240      8          39         10.00   
1241      8          38         10.00   
1242      8          37         10.00   
1243      8          36         10.00   
