column  row  current_HV_Setting  new_HV_Setting  Voltage_change
11      02      974.877         1006.487         + 31.610
11      03      974.790         1030.554         + 55.764
11      04      991.868         1026.992         + 35.124
11      05      994.990         1039.669         + 44.679
11      06      968.753          984.092         + 15.339
11      07      992.699         1039.096         + 46.397
11      08      987.360         1021.617         + 34.257
11      09      982.628         1017.525         + 34.897
11      10      912.259          957.826         + 45.567
11      11      861.440          882.942         + 21.502
11      12      850.000          848.618         -  1.382
11      13      850.000          867.100         + 17.100
11      14      850.000          832.674         - 17.326
11      15      850.000          843.296         -  6.704
11      16      890.781          905.065         + 14.284
11      17      850.000          875.584         + 25.584
11      18      855.632          865.434         +  9.802
11      19      850.000          874.632         + 24.632
11      20      858.320          872.220         + 13.900
11      21      873.246          887.665         + 14.419
11      22      862.062          895.870         + 33.808
11      23      850.000          845.195         -  4.805
11      24      852.742          854.898         +  2.156
11      25      850.000          878.015         + 28.015
11      26      928.062          931.099         +  3.037
11      27      873.519          891.919         + 18.400
11      28      868.510          878.232         +  9.722
11      29      871.958          884.976         + 13.018
11      30      989.812         1021.462         + 31.650
11      31     1033.315         1050.000         + 16.685
11      32      996.509         1039.805         + 43.296
11      33      980.095         1001.645         + 21.550
11      34     1010.443         1046.536         + 36.093
11      35      987.179         1011.789         + 24.610
11      36      971.850          994.572         + 22.722
11      37      985.906         1031.466         + 45.560
11      38     1050.000         1050.000         +  0.000
11      39      993.610         1029.956         + 36.346
12      00      987.779         1040.913         + 53.134
12      01      986.058         1020.220         + 34.162
12      02      992.276         1050.000         + 57.724
12      03      977.531         1016.370         + 38.839
12      04      988.635         1012.512         + 23.877
12      05      976.265         1009.229         + 32.964
12      06      985.153         1015.612         + 30.459
12      07      968.871          991.732         + 22.861
12      08      992.028         1036.648         + 44.620
12      09      970.876          993.053         + 22.177
12      10      859.720          882.136         + 22.416
12      11      868.234          896.097         + 27.863
12      12      850.000          830.562         - 19.438
12      13      850.000          829.883         - 20.117
12      14      850.000          840.941         -  9.059
12      15      857.138          887.256         + 30.118
12      16      877.264          913.894         + 36.630
12      17      874.912          886.881         + 11.969
12      18      868.379          886.566         + 18.187
12      19      858.470          870.287         + 11.817
12      20      906.086          922.103         + 16.017
12      21      862.070          874.892         + 12.822
12      22      854.221          872.305         + 18.084
12      23      867.249          883.729         + 16.480
12      24      850.000          866.758         + 16.758
12      25      892.081          919.165         + 27.084
12      26      850.000          842.753         -  7.247
12      27      885.899          909.165         + 23.266
12      28      865.585          901.978         + 36.393
12      29      925.096          940.184         + 15.088
12      30     1017.050         1050.000         + 32.950
12      31      984.363         1015.610         + 31.247
12      32      996.101         1028.931         + 32.830
12      33      988.537         1020.409         + 31.872
12      34     1007.430         1045.806         + 38.376
12      35     1031.545         1050.000         + 18.455
12      36      997.757         1030.976         + 33.219
12      37     1007.831         1043.986         + 36.155
12      38      989.669         1017.076         + 27.407
12      39      990.068         1028.425         + 38.357
13      00      987.947         1014.786         + 26.839
13      01      969.981          999.573         + 29.592
13      02      978.375         1004.767         + 26.392
13      03      981.579         1013.521         + 31.942
13      04      991.376         1028.552         + 37.176
13      05      969.118          995.245         + 26.127
13      06      978.722         1012.215         + 33.493
13      07      987.207         1019.513         + 32.306
13      08      991.897         1037.213         + 45.316
13      09      928.750          951.585         + 22.835
13      10      863.149          877.189         + 14.040
13      11      852.985          867.008         + 14.023
13      12      850.835          865.329         + 14.494
13      13      850.000          863.129         + 13.129
13      14      850.000          855.041         +  5.041
13      15      855.187          876.533         + 21.346
13      16      868.155          887.866         + 19.711
13      17      865.309          879.522         + 14.213
13      18      867.249          897.206         + 29.957
13      19      850.000          861.676         + 11.676
13      20      850.000          853.397         +  3.397
13      21      880.420          907.093         + 26.673
13      22      850.000          855.332         +  5.332
13      23      908.976          921.154         + 12.178
13      24      922.312          944.616         + 22.304
13      25      866.691          886.197         + 19.506
13      26      850.000          862.946         + 12.946
13      27      891.729          916.823         + 25.094
13      28      850.000          859.420         +  9.420
13      29      857.588          895.811         + 38.223
13      30      996.797         1037.665         + 40.868
13      31     1002.225         1050.000         + 47.775
13      32     1021.711         1050.000         + 28.289
13      33     1013.099         1048.146         + 35.047
13      34     1000.266         1042.123         + 41.857
13      35      984.893         1012.073         + 27.180
13      36      982.815         1017.282         + 34.467
13      37     1011.287         1035.664         + 24.377
13      38      981.051         1013.550         + 32.499
13      39      973.666         1004.848         + 31.182
14      00      973.654         1006.875         + 33.221
14      01      995.559         1022.115         + 26.556
14      02      988.903         1015.705         + 26.802
14      03      985.399         1018.223         + 32.824
14      04      998.556         1034.430         + 35.874
14      05      986.209         1022.745         + 36.536
14      06      988.932         1043.003         + 54.071
14      07      988.101         1021.165         + 33.064
14      08      992.655         1039.782         + 47.127
14      09      985.125         1008.857         + 23.732
14      10      850.000          840.258         -  9.742
14      11      857.419          881.920         + 24.501
14      12      851.786          866.086         + 14.300
14      13      850.000          858.638         +  8.638
14      14      907.687          921.889         + 14.202
14      15      864.694          883.287         + 18.593
14      16      850.000          860.506         + 10.506
14      17      867.249          884.399         + 17.150
14      18      854.962          883.456         + 28.494
14      19      867.249          906.579         + 39.330
14      20      868.374          893.160         + 24.786
14      21      867.249          901.999         + 34.750
14      22      864.770          886.234         + 21.464
14      23      856.079          868.897         + 12.818
14      24      938.410          969.512         + 31.102
14      25      850.000          857.803         +  7.803
14      26      865.041          879.752         + 14.711
14      27      893.699          926.653         + 32.954
14      28      867.249          894.420         + 27.171
14      29      924.055          942.053         + 17.998
14      30      987.779         1008.392         + 20.613
14      31      984.228         1016.716         + 32.488
14      32     1024.532         1050.000         + 25.468
14      33     1016.759         1049.795         + 33.036
14      34      989.371         1018.330         + 28.959
14      35      984.187         1016.017         + 31.830
14      36      992.188         1021.584         + 29.396
14      37      985.590         1009.165         + 23.575
14      38      976.139         1007.125         + 30.986
14      39     1026.611         1050.000         + 23.389
15      00      966.350          981.262         + 14.912
15      01      983.043         1014.053         + 31.010
15      02      992.465         1000.758         +  8.293
15      03      958.514          972.156         + 13.642
15      04      986.610         1014.501         + 27.891
15      05      986.804         1019.377         + 32.573
15      06      983.755         1018.423         + 34.668
15      07      992.509         1031.539         + 39.030
15      08     1006.747         1050.000         + 43.253
15      09      983.836         1001.950         + 18.114
15      10      889.870          902.232         + 12.362
15      11      871.822          884.702         + 12.880
15      12      850.000          862.484         + 12.484
15      13      875.015          890.778         + 15.763
15      14      850.000          883.140         + 33.140
15      15      850.000          847.618         -  2.382
15      16      883.934          899.909         + 15.975
15      17      884.016          907.135         + 23.119
15      18      861.489          893.554         + 32.065
15      19      899.039          912.951         + 13.912
15      20      850.000          867.457         + 17.457
15      21      867.531          893.205         + 25.674
15      22      890.099          905.899         + 15.800
15      23      850.000          871.256         + 21.256
15      24      850.000          858.405         +  8.405
15      25      884.424          903.965         + 19.541
15      26      850.000          852.214         +  2.214
15      27      859.472          879.646         + 20.174
15      28      902.920          919.770         + 16.850
15      29      866.972          881.212         + 14.240
15      30      986.845         1013.184         + 26.339
15      31      932.464          950.404         + 17.940
15      32      991.361         1031.014         + 39.653
15      33      991.001         1011.324         + 20.323
15      34      990.684         1024.888         + 34.204
15      35      982.135         1009.821         + 27.686
15      36      982.175         1014.678         + 32.503
15      37      993.124         1016.205         + 23.081
15      38      979.965         1016.423         + 36.458
15      39     1008.420         1045.517         + 37.097
16      00      989.968         1025.482         + 35.514
16      01      990.455         1034.015         + 43.560
16      02      990.756         1023.959         + 33.203
16      03      954.493          988.899         + 34.406
16      04      993.521         1011.535         + 18.014
16      05      983.257          997.573         + 14.316
16      06      983.190         1019.274         + 36.084
16      07      988.325         1030.976         + 42.651
16      08      987.081         1023.189         + 36.108
16      09      943.858          971.592         + 27.734
16      10      870.872          885.809         + 14.937
16      11      902.970          920.289         + 17.319
16      12      862.083          877.058         + 14.975
16      13      872.745          888.929         + 16.184
16      14      850.000          872.471         + 22.471
16      15      858.577          875.261         + 16.684
16      16      867.249          884.192         + 16.943
16      17      897.445          924.751         + 27.306
16      18      867.249          889.739         + 22.490
16      19      850.000          853.949         +  3.949
16      20      850.000          839.381         - 10.619
16      21      866.077          920.863         + 54.786
16      22      850.613          855.803         +  5.190
16      23      902.491          923.411         + 20.920
16      24      892.322          914.025         + 21.703
16      25      923.817          941.085         + 17.268
16      26      920.510          936.688         + 16.178
16      27      895.014          923.677         + 28.663
16      28      880.192          888.968         +  8.776
16      29      920.873          948.531         + 27.658
16      30     1050.000         1050.000         +  0.000
16      31     1032.229         1050.000         + 17.771
16      32     1000.973         1041.403         + 40.430
16      33     1005.854         1038.720         + 32.866
16      34      985.755         1018.327         + 32.572
16      35      992.144         1020.543         + 28.399
16      36      988.847         1017.678         + 28.831
16      37     1041.602         1050.000         +  8.398
16      38      992.889         1028.849         + 35.960
16      39      982.069         1014.997         + 32.928
17      00      959.943          974.440         + 14.497
17      01      989.186         1017.755         + 28.569
17      02      989.201         1041.347         + 52.146
17      03      967.318          986.750         + 19.432
17      04      985.838         1025.903         + 40.065
17      05      988.059         1015.626         + 27.567
17      06      986.748         1045.208         + 58.460
17      07      992.014         1025.962         + 33.948
17      08      986.721         1018.945         + 32.224
17      09      962.526          978.447         + 15.921
17      10      850.000          837.363         - 12.637
17      11      903.182          929.926         + 26.744
17      12      903.139          938.862         + 35.723
17      13      850.000          868.136         + 18.136
17      14      924.470          941.409         + 16.939
17      15      854.875          868.165         + 13.290
17      16      867.749          886.868         + 19.119
17      17      872.717          902.538         + 29.821
17      18      850.000          835.325         - 14.675
17      19      850.000          871.615         + 21.615
17      20      867.249          903.618         + 36.369
17      21      903.145          916.668         + 13.523
17      22      868.383          899.134         + 30.751
17      23      860.760          876.747         + 15.987
17      24      850.000          839.752         - 10.248
17      25      868.116          884.176         + 16.060
17      26      867.249          882.111         + 14.862
17      27      850.000          844.912         -  5.088
17      28      891.357          906.179         + 14.822
17      29      850.000          854.940         +  4.940
17      30     1050.000         1050.000         +  0.000
17      31      993.271         1043.367         + 50.096
17      32     1009.486         1044.339         + 34.853
17      33     1008.673         1050.000         + 41.327
17      34      967.180          998.395         + 31.215
17      35     1004.659         1030.823         + 26.164
17      36      985.879         1020.807         + 34.928
17      37      975.825         1008.232         + 32.407
17      38      983.110         1021.371         + 38.261
17      39      996.372         1029.729         + 33.357
18      00      977.927         1003.472         + 25.545
18      01      983.728         1027.592         + 43.864
18      02      978.838         1002.859         + 24.021
18      03      989.101         1012.409         + 23.308
18      04      940.872          954.437         + 13.565
18      05      983.499         1002.947         + 19.448
18      06      992.875         1021.824         + 28.949
18      07      975.800         1005.986         + 30.186
18      08      986.333         1020.857         + 34.524
18      09      977.074          992.179         + 15.105
18      10      864.105          890.609         + 26.504
18      11      867.249          892.437         + 25.188
18      12      850.000          848.535         -  1.465
18      13      895.882          904.570         +  8.688
18      14      867.249          924.702         + 57.453
18      15      850.000          835.999         - 14.001
18      16      916.319          939.277         + 22.958
18      17      861.016          877.403         + 16.387
