// index column row  mean  error sigma   chi2/ndf width  status
 389   30   10 122.588    1.446   40.000   11.351    93.200   FAILED
 390   30    9   3.084   167.244   30.000   -0.000    69.900   FAILED
 391   30    8 123.007    0.124   40.000   4571.364    93.200   FAILED
 392   30    7 123.130    0.116   40.000   5436.289    93.200   FAILED
 393   30    6 123.019    0.134   40.000   3666.611    93.200   FAILED
 394   30    5   3.084   167.244   30.000   -0.000    69.900   FAILED
 395   30    4 123.054    0.088   40.000   9768.922    93.200   FAILED
 396   30    3   3.084   167.244   30.000   -0.000    69.900   FAILED
 397   30    2   3.084   167.244   30.000   -0.000    69.900   FAILED
 398   30    1 123.015    0.071   40.000   14760.346    93.200   FAILED
 399   30    0 123.048    0.059   40.000   22254.626    93.200   FAILED
 400   29   39   3.084   167.244   30.000   -0.000    69.900   FAILED
 401   29   38   3.084   167.244   30.000   -0.000    69.900   FAILED
 402   29   37   3.084   167.244   30.000   -0.000    69.900   FAILED
 403   29   36   3.084   167.244   30.000   -0.000    69.900   FAILED
 404   29   35   3.084   167.244   30.000   -0.000    69.900   FAILED
 405   29   34   3.084   167.244   30.000   -0.000    69.900   FAILED
 406   29   33 124.083    0.513   40.000   153.262    93.200   FAILED
 407   29   32   3.084   167.244   30.000   -0.000    69.900   FAILED
 408   29   31 124.842    1.453   40.000   10.284    93.200   FAILED
 409   29   30   3.084   167.244   30.000   -0.000    69.900   FAILED
 410   29   29 123.796    0.650   40.000   83.691    93.200   FAILED
 411   29   28   3.084   167.244   30.000   -0.000    69.900   FAILED
 412   29   27 123.755    0.171   40.000   1628.780    93.200   FAILED
 413   29   26 123.897    0.549   40.000   128.463    93.200   FAILED
 414   29   25 123.687    0.649   40.000   110.355    93.200   FAILED
 415   29   24 123.839    0.302   40.000   460.804    93.200   FAILED
 416   29   23 123.634    0.324   40.000   570.067    93.200   FAILED
 417   29   22 123.992    0.649   40.000   97.244    93.200   FAILED
 418   29   21 123.624    0.419   40.000   272.004    93.200   FAILED
 419   29   20 124.097    1.453   40.000   10.289    93.200   FAILED
 420   29   19 123.206    0.309   40.000   579.161    93.200   FAILED
 421   29   18 123.777    0.139   40.000   2651.685    93.200   FAILED
