#row 1 Col 23 -> 37
 5 21   20 84   24 88
 6 21   24 84   28 88
 7 21   28 84   32 88
 8 21   32 84   36 88
 9 21   36 84   40 88
10 21   40 84   44 88
11 21   44 84   48 88
12 21   48 84   52 88
13 21   52 84   56 88
14 21   56 84   60 88
15 21   60 84   64 88
16 21   64 84   68 88
17 21   68 84   72 88
18 21   72 84   76 88
40 21  160 84  164 88
41 21  164 84  168 88
42 21  168 84  172 88
43 21  172 84  176 88
44 21  176 84  180 88
45 21  180 84  184 88
46 21  184 84  188 88
47 21  188 84  192 88
48 21  192 84  196 88
49 21  196 84  200 88
50 21  200 84  204 88
51 21  204 84  208 88
52 21  208 84  212 88
53 21  212 84  216 88
54 21  216 84  220 88
55 21  220 84  224 88
56 21  224 84  228 88
57 21  228 84  232 88

#row 23 Col 1 -> 59
 0 22    0 88    4 92
 1 22    4 88    8 92
 2 22    8 88   12 92
 3 22   12 88   16 92
 4 22   16 88   20 92
 5 22   20 88   24 92
 6 22   24 88   28 92
 7 22   28 88   32 92
 8 22   32 88   36 92
 9 22   36 88   40 92
10 22   40 88   44 92
11 22   44 88   48 92
12 22   48 88   52 92
13 22   52 88   56 92
14 22   56 88   60 92
15 22   60 88   64 92
16 22   64 88   68 92
17 22   68 88   72 92
18 22   72 88   76 92
40 22  160 88  164 92
41 22  164 88  168 92
42 22  168 88  172 92
43 22  172 88  176 92
44 22  176 88  180 92
45 22  180 88  184 92
46 22  184 88  188 92
47 22  188 88  192 92
48 22  192 88  196 92
49 22  196 88  200 92
50 22  200 88  204 92
51 22  204 88  208 92
52 22  208 88  212 92
53 22  212 88  216 92
54 22  216 88  220 92
55 22  220 88  224 92
56 22  224 88  228 92
57 22  228 88  232 92
58 22  232 88  236 92

#row 24 Col 1 -> 59
 0 23    0 92    4 96
 1 23    4 92    8 96
 2 23    8 92   12 96
 3 23   12 92   16 96
 4 23   16 92   20 96
 5 23   20 92   24 96
 6 23   24 92   28 96
 7 23   28 92   32 96
 8 23   32 92   36 96
 9 23   36 92   40 96
10 23   40 92   44 96
11 23   44 92   48 96
12 23   48 92   52 96
13 23   52 92   56 96
14 23   56 92   60 96
15 23   60 92   64 96
16 23   64 92   68 96
17 23   68 92   72 96
18 23   72 92   76 96
40 23  160 92  164 96
41 23  164 92  168 96
42 23  168 92  172 96
43 23  172 92  176 96
44 23  176 92  180 96
45 23  180 92  184 96
46 23  184 92  188 96
47 23  188 92  192 96
48 23  192 92  196 96
49 23  196 92  200 96
50 23  200 92  204 96
51 23  204 92  208 96
52 23  208 92  212 96
53 23  212 92  216 96
54 23  216 92  220 96
55 23  220 92  224 96
56 23  224 92  228 96
57 23  228 92  232 96
58 23  232 92  236 96

#row 25 Col 1 -> 59
 0 24    0 96    4 100
 1 24    4 96    8 100
 2 24    8 96   12 100
 3 24   12 96   16 100
 4 24   16 96   20 100
 5 24   20 96   24 100
 6 24   24 96   28 100
 7 24   28 96   32 100
 8 24   32 96   36 100
 9 24   36 96   40 100
10 24   40 96   44 100
11 24   44 96   48 100
12 24   48 96   52 100
13 24   52 96   56 100
14 24   56 96   60 100
15 24   60 96   64 100
16 24   64 96   68 100
17 24   68 96   72 100
18 24   72 96   76 100
40 24  160 96  164 100
41 24  164 96  168 100
42 24  168 96  172 100
43 24  172 96  176 100
44 24  176 96  180 100
45 24  180 96  184 100
46 24  184 96  188 100
47 24  188 96  192 100
48 24  192 96  196 100
49 24  196 96  200 100
50 24  200 96  204 100
51 24  204 96  208 100
52 24  208 96  212 100
53 24  212 96  216 100
54 24  216 96  220 100
55 24  220 96  224 100
56 24  224 96  228 100
57 24  228 96  232 100
58 24  232 96  236 100

#row 26 Col 1 -> 59
 0 25    0 100    4 104
 1 25    4 100    8 104
 2 25    8 100   12 104
 3 25   12 100   16 104
 4 25   16 100   20 104
 5 25   20 100   24 104
 6 25   24 100   28 104
 7 25   28 100   32 104
 8 25   32 100   36 104
 9 25   36 100   40 104
10 25   40 100   44 104
11 25   44 100   48 104
12 25   48 100   52 104
13 25   52 100   56 104
14 25   56 100   60 104
15 25   60 100   64 104
16 25   64 100   68 104
17 25   68 100   72 104
18 25   72 100   76 104
40 25  160 100  164 104
41 25  164 100  168 104
42 25  168 100  172 104
43 25  172 100  176 104
44 25  176 100  180 104
45 25  180 100  184 104
46 25  184 100  188 104
47 25  188 100  192 104
48 25  192 100  196 104
49 25  196 100  200 104
50 25  200 100  204 104
51 25  204 100  208 104
52 25  208 100  212 104
53 25  212 100  216 104
54 25  216 100  220 104
55 25  220 100  224 104
56 25  224 100  228 104
57 25  228 100  232 104
58 25  232 100  236 104

#row 27 Col 1 -> 59
 0 26    0 104    4 108
 1 26    4 104    8 108
 2 26    8 104   12 108
 3 26   12 104   16 108
 4 26   16 104   20 108
 5 26   20 104   24 108
 6 26   24 104   28 108
 7 26   28 104   32 108
 8 26   32 104   36 108
 9 26   36 104   40 108
10 26   40 104   44 108
11 26   44 104   48 108
12 26   48 104   52 108
13 26   52 104   56 108
14 26   56 104   60 108
15 26   60 104   64 108
16 26   64 104   68 108
17 26   68 104   72 108
18 26   72 104   76 108
40 26  160 104  164 108
41 26  164 104  168 108
42 26  168 104  172 108
43 26  172 104  176 108
44 26  176 104  180 108
45 26  180 104  184 108
46 26  184 104  188 108
47 26  188 104  192 108
48 26  192 104  196 108
49 26  196 104  200 108
50 26  200 104  204 108
51 26  204 104  208 108
52 26  208 104  212 108
53 26  212 104  216 108
54 26  216 104  220 108
55 26  220 104  224 108
56 26  224 104  228 108
57 26  228 104  232 108
58 26  232 104  236 108

#row 28 Col 1 -> 59
 0 27    0 108    4 112
 1 27    4 108    8 112
 2 27    8 108   12 112
 3 27   12 108   16 112
 4 27   16 108   20 112
 5 27   20 108   24 112
 6 27   24 108   28 112
 7 27   28 108   32 112
 8 27   32 108   36 112
 9 27   36 108   40 112
